First Name,Last Name,Email (optional),Phone Number,"Evaluation (see instructions, data entered must match evaluation options)","Reason if unsuccessful or not evaluated (see instructions, data entered must match an item from the list)",Additional Information (optional)
Andrew,Adriana,andrewa@test.com,,,,
Benjamin,Aline,benjamina@test.com,,,,
Adrian,Ana,adriana@test.com,,,,
Christopher,Angeliki,christophera@test.com,,,,
wuzzy,Ankle,wuzzya@test.com,,,,
Alexander,Antonia,alexandera@test.com,,,,
Toesworth,army,aoeswortha@test.com,,,,
Ticker,Baker,tickerb@test.com,,,,
Table,bear,tableb@test.com,,,,
Susy,Billy,susyb@test.com,,,,
Stripes,Blue,stripesb@test.com,,,,
Straw,california,strawc@test.com,,,,
Smith,Card,smithc@test.com,,,,
